command,code,
set up new integer,integer a,
set up new integer called x,integer x,
set up new text called x,text x,
declare number b,number b,
declare number m,number m,
declare integer c,integer c,
declare integer m,integer m,
declare string c,text c,
declare string m,text m,
declare new integer x,integer x,
declare new string x,text x,
declare new number x,number x,
declare a string variable named x,text x,
declare an integer variable named y,integer y,
declare a number variable named x,number x,
declare a boolean variable named x,boolean x,
declare string type variable y,text y,
declare text type variable x,text x,
declare integer type variable age,integer age,
declare number type variable x,number x,
declare a variable called x with type string,text x,
declare a variable called y with type text,text y,
declare a variable called y with type integer,integer y,
declare a variable called y with type number,number y,
declare a variable called y with type boolean,boolean y,
declare boolean type variable x,boolean x,
declare integer student age,integer student_age,
declare number student age,number student_age,
declare text student age,text student_age,
declare integer number count,integer number_count,
declare integer average total count,integer average_total_count,
declare boolean student age,boolean student_age,
declare boolean current student id,boolean new_student_id,
declare boolean student current address,boolean student_current_address,
declare integer student age ,integer student_age,
declare integer new student age ,integer new_student_age,
declare text last name ,text last_name,
declare string student first name ,text student_first_name,
declare number student age ,number student_age,
declare number new student age ,number new_student_age,
initiate integer x with value seven,integer x = 7,
initiate integer x with value eight,integer x = 8,
initiate integer x with value nine,integer x = 9,
initiate integer y with value fourteen,integer y = 14,
initiate integer y with value fifteen,integer y = 15,
initiate integer y with value sixteen,integer y = 16,
initiate string x with value hello,"text x = ""hello""",
initiate string x with value word,"text x = ""word""",
initiate string x with value dog,"text x = ""dog""",
initiate string x with value animal,"text x = ""animal""",
initiate string x with value house,"text x = ""house""",
initiate string x with value hello world,"text x = ""hello world""",
initiate string x with value hello world new,"text x = ""hello world new""",
initiate string x with value animal home cat,"text x = ""animal home cat""",
initiate string x with value very good luck ,"text x = ""very good luck""",
initiate text x with value animal,"text x = ""animal""",
initiate text x with value house,"text x = ""house""",
initiate text x with value hello world,"text x = ""hello world""",
initiate text x with value animal cat,"text x = ""animal cat""",
initiate text x with value hello world new,"text x = ""hello world new""",
initiate text x with value animal home cat,"text x = ""animal home cat""",
initiate text x with value very good luck ,"text x = ""very good luck""",
print name,"output ""name""",
print dog,"output ""dog""",
print x,"output ""x""",
print hello world,"output ""hello world""",
print string hello world,"output ""hello world""",
print string good luck,"output ""good luck""",
print string x y,"output ""x y""",
print string all is well,"output ""all is well""",
output x,"output ""x""",
output hello world,"output ""hello world""",
output good luck,"output ""good luck""",
output x y,"output ""x y""",
output  all is well,"output ""all is well""",
output text hello world,"output ""hello world""",
output text good luck,"output ""good luck""",
output text x y,"output ""x y""",
output text all is well,"output ""all is well""",
output text sky is blue,"output ""sky is blue""",
print variable name,output name,
print variable dog,output dog,
print variable x,output x,
print variable all is well,output all_is_well,
print variable sky is blue,output sky_is blue,
print variable x y z,output x_y_z,
print variable text hello world,output hello_world,
print variable text good luck,output good_luck,
print variable text x y,output x_y,
print variable string name,output name,
print variable string dog,output dog,
print variable string x,output x,
print variable string all is well,output all_is_well,
print variable string sky is blue,output sky_is blue,
print variable string x y z,output x_y_z,
output variable hello world,output hello_world,
output variable good luck,output good_luck,
output variable x y,output x_y,
output variable text hello world,output hello_world,
output variable text good luck,output good_luck,
output variable text x y,output x_y,
output variable text all is well,output all_is_well,
output variable string x y,output x_y,
print variable string name,output name,
output variable name,output name,
print  text name,"output ""name""",
print  string name,"output ""name""",
print variable text dog,output dog,
print variable string dog,output dog,
output  dog,"output ""dog""",
output  text dog,"output ""dog""",
print variable string hello world,output hello_world,
output variable hello world,output hello_world,
output variable text hello world,output hello_world,
print variable first name,output first_name,
print variable text first name,output first_name,
print variable string first name,output first_name,
print variable text student first name,output student_first_name,
print variable string student first name,output student_first_name,
output variable student first name,output student_first_name,
output text student first name,"output ""student first name""",
output string student first name,"output ""student first name""",
print variable total distance count,output total_distance_count,
print variable text total distance count,output total_distance_count,
print variable string total distance count,output total_distance_count,
print  string total distance count,"output ""total distance count""",
output  total distance count,"output ""total distance count""",
initiate string x with value two,"text x =  ""2""",
initiate integer x with value three,integer x = 3,
initiate number x with value three,number x = 3.0,
initiate number x with value five,number x = 5.0,
initiate text x with value five,"text x =  ""5""",
initiate string x with value five,"text x =  ""5""",
initiate text x with value one,"text x = ""1""",
initiate string x with value one,"text x = ""1""",
initiate integer age with value one,integer age = 1,
initiate string name with value one,"text name = ""1""",
initiate integer x with value two,integer x = 2,
initiate number x with value two,number x = 2.0,
initiate string age with value two,"text age = ""2""",
initiate integer name with value two,integer name = 2,
initiate number name with value two,number name = 2.0,
initiate number x with value one point one,number x = 1.1,
initiate number x with value one point two,number x = 1.2,
initiate number x with value one point three,number x = 1.3,
initiate number hello name with value one,number hello_name = 1.0,
initiate number hello name with value one point one,number hello_name = 1.1,
initiate number hello name with value one point two,number hello_name = 1.2,
multiply five and twenty and assign to integer variable x,integer x = 5 * 20,
multiply ten and fifteen and assign to integer variable x,integer x = 10 * 15,
multiply nine and seven and assign to integer variable x,integer x = 9 * 7,
multiply twenty and twenty one and assign to integer variable hello,integer hello = 20 * 21,
multiply nineteen and fifteen and assign to integer variable hello,integer hello = 19 * 15,
multiply five and twenty and assign to integer variable total count,integer total_count = 5 * 20,
multiply five and twenty and assign to integer variable total marks count,integer total_marks_count = 5 * 20,
multiply ten and fifteen and assign to integer variable total marks count,integer total_marks_count = 10 * 15,
